ID,Crime,Date,Time,Suspect Gender,Suspect Race,Victim Count,Victim Gender,Victim Age,Weapon Type,Location,Address,City,County,State,Latitude,Longitude
20,Murder,12/3/1978,UNK,Male,White,1,Male,23,Hands,UNK,195 Melrose Ave,London,UNK,UNK,51.436079,-0.200492
23,Carjacking,4/7/2023,1115,Male,UNK,1,UNK,UNK,Firearm,Street,4203 Jenifer St NW,Washington,Washington,District of Columbia,38.9594005,-77.082309
75,Sexual Assault,9/20/2005,2230,Male,Black,2,Female,UNK,Handgun,Park,3100 W Vineard Rd.,Phoenix,Maricopa,Arizona,33.3835661,-112.1289334
110,Murder,7/29/1989,UNK,Male,UNK,1,Female,59,UNK,Genessee River,2650 Lake Ave,Rochester,UNK,New York,43.2141173,-77.620461
115,Murder,1/1/1996,UNK,UNK,UNK,1,Female,23,UNK,UNK,UNK,Los Angeles,UNK,California,34.0549,-118.2426
142,Assault,10/23/1976,0230,Male,White,2,"Male, Female","20, 19",Firearm,Park,29th Ave.& 157th St,Queens,UNK,New York,40.7704,-73.8073
180,Murder,1/1/1996,UNK,UNK,UNK,1,Female,25,UNK,UNK,UNK,Los Angeles,UNK,California,34.0549,-118.2426
183,Murder,1/1/1987,UNK,UNK,UNK,1,Female,24,UNK,UNK,UNK,Monroe,UNK,Louisiana,32.5093,-92.1193
188,Murder,5/18/1980,UNK,Male,Black,1,Male,14,UNK,Bar outside the Georgia Department of Offender Rehabilitation,247 Flat Shoals Avenue SE ,Atlanta,UNK,Georgia,33.74689,-84.35001
193,Murder,9/2/1972,UNK,Male,UNK,1,Female,8,UNK,Court Street Bridge,US-11,Watertown,UNK,New York,43.9809531,-75.916158
289,Murder,1/1/1984,UNK,UNK,UNK,1,Female,UNK,UNK,UNK,UNK,Tampa Bay,UNK,Florida,27.7634,-82.5437
299,Murder,7/17/1889,0040,Male,White,1,Female,UNK,Knife,Castle Alley,"Castle Alley, Whitechapel",London,UNK,United Kingdom,51.5159178,-0.075858
303,Murder,9/21/2002,0015,Male,UNK,1,Male,41,Firearm,Retail,2021 Martin Luther King Jr SW,Atlanta,UNK,Georgia,33.7501,-84.4542
309,Sexual Assault,8/6/2005,2145,Male,Black,3,Female,13-19,Handgun,Church,7202 S 48th St.,Phoenix,Maricopa,Arizona,33.3811476,-111.9810331
340,Murder,3/11/1980,UNK,Male,Black,1,Male,11,Blunt Force,Unamed wooded area,Plummer Rd SW,Atlanta,UNK,Georgia,33.70937,-84.58236
376,Robbery,12/13/2005,1600,Male,Black,1,UNK,UNK,Handgun,UNK,700 E South Mountain Ave.,Phoenix,Maricopa,Arizona,33.3706441,-112.0681607
